cod6;nome;Esperança de vida ao nascer 2010;Mortalidade infantil 2010;Mortalidade até 5 anos de idade 2010;IDHM 2010;Taxa de envelhecimento 2010;População em domicílios vulneráveis e com idoso 2010;Renda per capita 2010
130180;Ipixuna;71.32;21.8;23.33;0.481;2.91;2399;154.54
130185;Iranduba;72.94;17.8;19.01;0.613;4.83;3147;349.23
130190;Itacoatiara;73.66;15.31;16.39;0.644;5.03;5685;373.71
130195;Itamarati;71.32;21.8;23.33;0.477;2.64;778;214.95
130200;Itapiranga;72.54;18.7;20.03;0.654;5.24;709;321.94
130200;Itapiranga;75.5;12.9;15.09;0.775;7.39;78;942.44
130210;Japurá;69.85;25.9;27.72;0.522;2.62;732;248.6
130210;Japurá;74.75;13.9;16.3;0.712;10.62;125;615.19
130220;Juruá;67.24;34.3;36.64;0.522;3.43;753;227.39
130230;Jutaí;70.93;22.8;24.44;0.516;3.4;2256;214.36
130240;Lábrea;69.62;26.6;28.45;0.531;4.22;3421;227.62
130250;Manacapuru;72.69;17.23;18.45;0.614;4.88;6260;342.58
130255;Manaquiri;69.88;25.8;27.62;0.596;4.49;1857;254.15
130260;Manaus;74.54;14.24;15.2;0.737;3.88;60614;790.27
130270;Manicoré;69.83;26;27.77;0.582;4.38;4058;295.23
130280;Maraã;70.78;23.2;24.87;0.498;2.55;1806;144.99
130290;Maués;72.97;17.7;18.93;0.588;4.7;5757;244.3
130300;Nhamundá;71.73;20.7;22.16;0.586;5.56;2026;195.12
130310;Nova Olinda do Norte;71.81;20.5;21.96;0.558;4.45;3227;232.07
130320;Novo Airão;71.55;21.2;22.68;0.57;4.56;1255;246.44
130330;Novo Aripuanã;70.52;24;25.66;0.554;4.71;2432;219.69
130340;Parintins;72.97;17.7;18.93;0.658;4.9;10595;313.07
130350;Pauini;68.45;30.2;32.32;0.496;2.95;2124;218.21
130353;Presidente Figueiredo;73.1;17.4;18.6;0.647;3.15;686;396.51
130356;Rio Preto da Eva;72.12;19.8;21.13;0.611;3.51;1079;315.24
130360;Santa Isabel do Rio Negro;69.2;27.9;29.81;0.479;3.98;2457;141.04
130380;São Gabriel da Cachoeira;71.59;19.32;20.7;0.609;4.58;5741;355.51
130395;São Sebastião do Uatumã;69.34;27.4;29.35;0.577;3.32;777;262.79
